S.No,Geographical Indications,Goods,State,State 2,State 3,State 4,State 5,State 6,State 7
43,Ilkal Sarees,Handicraft,Karnataka,,,,,,
44,Applique (Khatwa) Work of Bihar,Handicraft,Bihar,,,,,,
45,Sujini Embroidery Work of Bihar,Handicraft,Bihar,,,,,,
46,Sikki Grass Products of Bihar,Handicraft,Bihar,,,,,,
47,Malabar Pepper,Agricultural,Kerala,Karnataka,Tamilnadu,,,,
48,Allahabad Surkha Guava,Agricultural,Uttar Pradesh,,,,,,
49,Nakshi Kantha,Handicraft,West Bengal,,,,,,
50,Ganjifa Cards of Mysore,Handicraft,Karnataka,,,,,,
51,Navalgund Durries,Handicraft,Karnataka,,,,,,
52,Karnataka Bronzeware,Handicraft,Karnataka,,,,,,
53,Molakalmuru Sarees,Handicraft,Karnataka,,,,,,
54,Monsooned Malabar Arabica Coffee,Agricultural,Karnataka,Kerala,,,,,
55,Monsooned Malabar Robusta Coffee,Agricultural,Karnataka,Kerala,,,,,
56,Salem Silk known as Salem Venpattu,Handicraft,Tamil Nadu,,,,,,
57,Kovai Kora Cotton Sarees,Handicraft,Tamil Nadu,,,,,,
58,Arani Silk,Handicraft,Tamil Nadu,,,,,,
59,Alleppey Green Cardamom,Agricultural,Kerala,Tamilnadu,,,,,
60,Coorg Green Cardamom,Agricultural,Karnataka,,,,,,
61,East India Leather,Manufactured,Tamil Nadu,,,,,,
62,Bastar Dhokra,Handicraft,Chattisgarh,,,,,,
63,Bastar Wooden Craft,Handicraft,Chattisgarh,,,,,,
64,Nirmal Toys and Craft,Handicraft,Telangana,,,,,,
65,Maddalam of Palakkad,Handicraft,Kerala,,,,,,
66,Screw Pine Craft of Kerala,Handicraft,Kerala,,,,,,
67,Swamimalai Bronze Icons,Handicraft,Tamil Nadu,,,,,,
68,Bastar Iron Craft,Handicraft,Chattisgarh,,,,,,
69,Konark Stone carving,Handicraft,Odisha,,,,,,
70,Orissa Pattachitra,Handicraft,Odisha,,,,,,
71,Machilipatnam Kalamkari,Handicraft,Andhra Pradesh,,,,,,
72,Eathomozhy Tall Coconut,Agricultural,Tamil Nadu,,,,,,
73,Brass Broidered Coconut Shell Crafts of Kerala,Handicraft,Kerala,,,,,,
74,Blue Pottery of Jaipur,Handicraft,Rajasthan,,,,,,
75,Molela Clay Work,Handicraft,Rajasthan,,,,,,
76,Kathputlis of Rajasthan,Handicraft,Rajasthan,,,,,,
77,Leather Toys of Indore,Handicraft,Madhya Pradesh,,,,,,
78,Bagh Prints of Madhya Pradesh,Handicraft,Madhya Pradesh,,,,,,
79,Sankheda Furniture,Handicraft,Gujarat,,,,,,
